,accuracy,loss,fpr,fnr,auc,samples_removed
balanced,0.7292307692307692,0.015006532669067383,0.38769230769230767,0.15384615384615385,0.7292307692307693,6600.0
balanced_asian,0.72,0.019347614049911498,0.36,0.2,0.7200000000000001,600.0
balanced_black,0.72,0.020548973083496094,0.44,0.12,0.72,300.0
balanced_chinese,0.72,0.017452987432479857,0.48,0.08,0.72,600.0
balanced_jewish,0.58,0.02287959337234497,0.6,0.24,0.5800000000000001,300.0
balanced_latino,0.6,0.026502206325531005,0.56,0.24,0.6,600.0
balanced_lgbtq,0.82,0.013211910724639892,0.16,0.2,0.8200000000000001,300.0
balanced_mental_dis,0.72,0.019006149768829347,0.4,0.16,0.72,600.0
balanced_mexican,0.78,0.014316930770874023,0.28,0.16,0.7799999999999999,600.0
balanced_middle_east,0.84,0.010008206367492676,0.2,0.12,0.84,600.0
balanced_muslim,0.76,0.017002090215682983,0.44,0.04,0.76,600.0
balanced_native_american,0.74,0.017042080163955687,0.24,0.28,0.74,600.0
balanced_physical_dis,0.72,0.01947312116622925,0.4,0.16,0.72,600.0
balanced_women,0.76,0.015252444744110107,0.48,0.0,0.76,300.0
IF,0.7369230769230769,0.013663397050247742,0.36923076923076925,0.15692307692307692,0.7369230769230769,1252.0
IF_asian,0.74,0.017321455478668212,0.36,0.16,0.74,91.0
IF_black,0.74,0.020225470066070558,0.4,0.12,0.74,73.0
IF_chinese,0.74,0.013707340955734252,0.44,0.08,0.7400000000000001,122.0
IF_jewish,0.62,0.024182608127593996,0.52,0.24,0.62,60.0
IF_latino,0.64,0.02171316146850586,0.48,0.24,0.64,125.0
IF_lgbtq,0.8,0.014253278970718384,0.28,0.12,0.7999999999999999,73.0
IF_mental_dis,0.72,0.02062016487121582,0.48,0.08,0.72,145.0
IF_mexican,0.76,0.014871858358383179,0.24,0.24,0.76,81.0
IF_middle_east,0.8,0.009894766211509705,0.16,0.24,0.7999999999999999,76.0
IF_muslim,0.76,0.018485645055770872,0.4,0.08,0.76,105.0
IF_native_american,0.74,0.013091191053390502,0.28,0.24,0.74,114.0
IF_physical_dis,0.72,0.020767486095428465,0.36,0.2,0.7200000000000001,111.0
IF_women,0.8,0.017728326320648195,0.4,0.0,0.8,76.0
TRAK,0.7476923076923077,0.011000766504842502,0.3323076923076923,0.1723076923076923,0.7476923076923078,3719.0
TRAK_asian,0.72,0.01575119376182556,0.32,0.24,0.72,356.0
TRAK_black,0.7,0.01635594367980957,0.48,0.12,0.7,208.0
TRAK_chinese,0.76,0.012750855684280395,0.4,0.08,0.76,330.0
TRAK_jewish,0.6,0.019596463441848753,0.48,0.32,0.6000000000000001,172.0
TRAK_latino,0.7,0.01519576072692871,0.4,0.2,0.7000000000000001,324.0
TRAK_lgbtq,0.76,0.012690500020980836,0.28,0.2,0.76,210.0
TRAK_mental_dis,0.72,0.015023415088653564,0.36,0.2,0.7200000000000001,376.0
TRAK_mexican,0.82,0.01221113681793213,0.24,0.12,0.82,298.0
TRAK_middle_east,0.84,0.007671920061111451,0.12,0.2,0.8400000000000001,278.0
TRAK_muslim,0.78,0.013525598049163819,0.32,0.12,0.7799999999999999,304.0
TRAK_native_american,0.72,0.014346873760223389,0.24,0.32,0.7200000000000001,318.0
TRAK_physical_dis,0.78,0.014718071222305298,0.32,0.12,0.7799999999999999,350.0
TRAK_women,0.82,0.01282780647277832,0.36,0.0,0.8200000000000001,195.0
