,accuracy,loss,fpr,fnr,auc
asian,0.72,0.0333261501789093,0.4,0.16,0.72
black,0.7,0.03480429649353027,0.44,0.16,0.7
chinese,0.72,0.026693862676620484,0.4,0.16,0.72
jewish,0.6,0.042982349395751955,0.56,0.24,0.6
latino,0.66,0.033002879619598385,0.44,0.24,0.6600000000000001
lgbtq,0.72,0.0292534875869751,0.36,0.2,0.7200000000000001
mental_dis,0.7,0.03386037468910217,0.44,0.16,0.7
mexican,0.8,0.026079115867614747,0.2,0.2,0.8
middle_east,0.84,0.01941857159137726,0.12,0.2,0.8400000000000001
muslim,0.74,0.033482847213745115,0.36,0.16,0.74
native_american,0.72,0.025347654223442078,0.28,0.28,0.72
physical_dis,0.72,0.037295302152633665,0.36,0.2,0.7200000000000001
women,0.76,0.028036733865737917,0.48,0.0,0.76
