,min,mean,max,std
IF_asian,-3017383.8,1451.6283,2546089.8,102718.42
IF_black,-2479302.2,-4185.2925,3195128.8,103967.02
IF_chinese,-2082814.5,-2396.162,3449359.2,105896.72
IF_jewish,-2413105.8,-2141.023,3663273.2,82212.94
IF_latino,-7030535.5,-4030.931,3078147.0,134627.98
IF_lgbtq,-3187276.8,2642.5923,2364247.2,101353.74
IF_mental_dis,-3707195.8,-730.4204,6600522.0,142423.61
IF_mexican,-3839025.0,5923.183,2262360.0,106454.125
IF_middle_east,-2053245.0,3001.6616,1299037.0,82437.37
IF_muslim,-3849403.5,1936.6464,3009986.0,95822.99
IF_native_american,-2935036.2,4665.491,1945864.4,113142.2
IF_physical_dis,-8326506.0,849.3104,3855099.0,160237.89
IF_women,-1450610.1,-1075.8209,1510191.5,67355.52
TRAK_asian,-0.054351807,5.543232e-06,0.062561035,0.004108429
TRAK_black,-0.044006348,-7.927418e-06,0.05529785,0.0038757324
TRAK_chinese,-0.058685303,-3.170967e-05,0.041656494,0.0044822693
TRAK_jewish,-0.05996704,-4.7266483e-05,0.056671143,0.0037498474
TRAK_latino,-0.0625,-9.3340874e-05,0.060058594,0.0048446655
TRAK_lgbtq,-0.061828613,-6.377697e-06,0.06237793,0.004360199
TRAK_mental_dis,-0.05065918,-6.198883e-06,0.062927246,0.003829956
TRAK_mexican,-0.054534912,7.748604e-07,0.05355835,0.0041007996
TRAK_middle_east,-0.04598999,3.2007694e-05,0.054016113,0.003435135
TRAK_muslim,-0.05758667,-3.415346e-05,0.07733154,0.00434494
TRAK_native_american,-0.06317139,2.6464462e-05,0.0635376,0.004310608
TRAK_physical_dis,-0.059814453,-5.787611e-05,0.051879883,0.0038452148
TRAK_women,-0.048614502,2.4199486e-05,0.04977417,0.0033569336
